frame,Species,Top-2 Genus,Top-3 Genus
requiem_1_frame89.jpg,Carcharhinus leucas,Prionace,Mustelus
requiem_1_frame88.jpg,Carcharhinus perezi,Prionace,Alopias
requiem_1_frame87.jpg,Carcharhinus amblyrhynchos,Prionace,Alopias
requiem_1_frame86.jpg,Carcharhinus perezi,Rhincodon,Prionace
requiem_1_frame85.jpg,Carcharhinus species,Alopias,Rhincodon
requiem_1_frame84.jpg,Carcharhinus plumbeus,Alopias,Rhincodon
requiem_1_frame83.jpg,Carcharhinus species,Isurus,Prionace
requiem_1_frame82.jpg,Carcharhinus melanopterus,Ginglymostoma,Negaprion
requiem_1_frame81.jpg,Carcharhinus melanopterus,Prionace,Triakis
requiem_1_frame80.jpg,Carcharhinus perezi,Prionace,Triakis
requiem_1_frame79.jpg,Carcharhinus melanopterus,Prionace,Negaprion
requiem_1_frame78.jpg,Prionace glauca,Carcharhinus,Negaprion
requiem_1_frame77.jpg,Carcharhinus perezi,Triakis,Prionace
requiem_1_frame75.jpg,Carcharhinus species,Triakis,Alopias
requiem_1_frame74.jpg,Carcharhinus species,Triakis,Prionace
requiem_1_frame72.jpg,Carcharhinus limbatus,Prionace,Alopias
requiem_1_frame71.jpg,Carcharhinus perezi,Prionace,Alopias
requiem_1_frame70.jpg,Carcharhinus species,Prionace,Alopias
requiem_1_frame69.jpg,Carcharhinus perezi,Prionace,Alopias
requiem_1_frame68.jpg,Carcharhinus species,Prionace,Carcharias
requiem_1_frame67.jpg,Carcharhinus limbatus,Prionace,Squalus
requiem_1_frame66.jpg,Carcharhinus species,Prionace,Alopias
requiem_1_frame65.jpg,Carcharhinus amblyrhynchos,Prionace,Alopias
requiem_1_frame64.jpg,Carcharhinus species,Alopias,Mustelus
requiem_1_frame63.jpg,Carcharhinus limbatus,Prionace,Squalus
requiem_1_frame62.jpg,Carcharhinus species,Squalus,Prionace
requiem_1_frame60.jpg,Carcharhinus amblyrhynchos,Alopias,Prionace
requiem_1_frame59.jpg,Carcharhinus amblyrhynchos,Prionace,Mustelus
requiem_1_frame58.jpg,Carcharhinus amblyrhynchos,Prionace,Alopias
requiem_1_frame57.jpg,Carcharhinus species,Prionace,Mustelus
requiem_1_frame56.jpg,Carcharhinus perezi,Prionace,Squalus
requiem_1_frame55.jpg,Carcharhinus species,Prionace,Alopias
requiem_1_frame54.jpg,Carcharhinus perezi,Prionace,Triakis
requiem_1_frame52.jpg,Carcharhinus amblyrhynchos,Prionace,Triakis
requiem_1_frame51.jpg,Carcharhinus obscurus,Prionace,other_genus
requiem_1_frame50.jpg,Carcharhinus amblyrhynchos,Prionace,Triakis
requiem_1_frame49.jpg,Carcharhinus amblyrhynchos,Prionace,Squalus
requiem_1_frame48.jpg,Carcharhinus amblyrhynchos,Prionace,Squalus
requiem_1_frame47.jpg,Carcharhinus amblyrhynchos,Prionace,Squalus
requiem_1_frame46.jpg,Carcharhinus obscurus,Prionace,other_genus
requiem_1_frame45.jpg,Carcharhinus perezi,Prionace,Squalus
requiem_1_frame44.jpg,Carcharhinus amblyrhynchos,Prionace,Triakis
requiem_1_frame40.jpg,Carcharodon carcharias,Prionace,Triakis
requiem_1_frame39.jpg,Carcharhinus melanopterus,Prionace,Triakis
requiem_1_frame37.jpg,Carcharhinus melanopterus,Prionace,Carcharodon
requiem_1_frame36.jpg,Carcharhinus leucas,Prionace,Negaprion
requiem_1_frame35.jpg,Carcharhinus perezi,Prionace,Carcharias
requiem_1_frame34.jpg,Carcharhinus perezi,Prionace,Carcharodon
requiem_1_frame33.jpg,Carcharhinus species,Prionace,Triakis
requiem_1_frame32.jpg,Carcharhinus melanopterus,Prionace,Carcharias
requiem_1_frame31.jpg,Prionace glauca,Carcharhinus,Carcharias
requiem_1_frame29.jpg,Carcharhinus leucas,Prionace,Triakis
requiem_1_frame28.jpg,Carcharhinus species,Triakis,Galeocerdo
requiem_1_frame22.jpg,Prionace glauca,Carcharhinus,Carcharias
requiem_1_frame21.jpg,Carcharhinus plumbeus,Prionace,Triakis
requiem_1_frame20.jpg,Carcharhinus plumbeus,Prionace,Squalus
requiem_1_frame19.jpg,Carcharhinus melanopterus,Prionace,Negaprion
requiem_1_frame18.jpg,Carcharhinus species,Prionace,Negaprion
requiem_1_frame17.jpg,Carcharhinus species,Prionace,Negaprion
requiem_1_frame16.jpg,Prionace glauca,Carcharhinus,Negaprion
requiem_1_frame15.jpg,Carcharhinus species,Triakis,Prionace
requiem_1_frame14.jpg,Carcharhinus species,Prionace,Triakis
requiem_1_frame10.jpg,Carcharhinus species,Prionace,Ginglymostoma
requiem_1_frame9.jpg,Carcharhinus melanopterus,Triakis,Prionace
requiem_1_frame8.jpg,Carcharhinus amblyrhynchos,Alopias,Prionace
requiem_1_frame7.jpg,Carcharias taurus,Carcharhinus,Prionace
requiem_1_frame6.jpg,Carcharhinus leucas,Prionace,Triakis
requiem_1_frame5.jpg,Carcharhinus leucas,Prionace,Alopias
requiem_1_frame4.jpg,Prionace glauca,Triakis,Carcharias
